# ----------------------------------------,,,,,,,
# www.photo-a-day.org,,,,,,,
# Pages,,,,,,,
# 20050601-20161006,,,,,,,
# ----------------------------------------,,,,,,,
,,,,,,,
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/PhotoDetail.aspx?date=04/02/2011,42,36,0:00:32,10,70.00%,30.95%,$0.00 
/PhotoDetail.aspx?date=07/04/2010,42,36,0:00:06,1,0.00%,11.90%,$0.00 
/PhotoDetail.aspx?date=07/18/2010,42,31,0:00:05,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=07/27/2010,42,33,0:00:13,0,0.00%,11.90%,$0.00 
/PhotoDetail.aspx?date=08/22/2010,42,38,0:00:13,2,0.00%,4.76%,$0.00 
/PhotoDetail.aspx?date=11/14/2010,42,39,0:00:29,5,40.00%,30.95%,$0.00 
/PhotoDetail.aspx?date=02/16/2010,41,29,0:00:16,0,0.00%,2.44%,$0.00 
/PhotoDetail.aspx?date=04/01/2010,41,36,0:00:04,0,0.00%,7.32%,$0.00 
/PhotoDetail.aspx?date=04/15/2012,41,38,0:00:10,20,60.00%,39.02%,$0.00 
/PhotoDetail.aspx?date=05/01/2010,41,34,0:00:39,6,33.33%,17.07%,$0.00 
/PhotoDetail.aspx?date=05/22/2010,41,33,0:00:27,12,58.33%,29.27%,$0.00 
/PhotoDetail.aspx?date=05/24/2011,41,34,0:01:58,7,71.43%,24.39%,$0.00 
/PhotoDetail.aspx?date=05/29/2012,41,35,0:01:36,25,80.00%,65.85%,$0.00 
/PhotoDetail.aspx?date=07/07/2010,41,33,0:00:13,0,0.00%,14.63%,$0.00 
/PhotoDetail.aspx?date=07/15/2010,41,35,0:00:06,1,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=07/16/2010,41,35,0:00:32,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=08/28/2010,41,36,0:01:04,5,60.00%,21.95%,$0.00 
/PhotoDetail.aspx?date=09/29/2010,41,37,0:00:14,10,80.00%,34.15%,$0.00 
/PhotoDetail.aspx?date=10/24/2010,41,36,0:00:27,6,66.67%,34.15%,$0.00 
/PhotoDetail.aspx?date=12/14/2010,41,36,0:00:51,6,33.33%,14.63%,$0.00 
/PhotoDetail.aspx?date=05/04/2010,40,37,0:00:38,7,57.14%,25.00%,$0.00 
/PhotoDetail.aspx?date=05/06/2011,40,36,0:00:06,0,0.00%,15.00%,$0.00 
/PhotoDetail.aspx?date=08/29/2010,40,40,0:00:10,5,100.00%,25.00%,$0.00 
/PhotoDetail.aspx?date=09/29/2011,40,33,0:01:17,20,45.00%,37.50%,$0.00 
/PhotoDetail.aspx?date=11/15/2010,40,39,0:00:07,7,42.86%,25.00%,$0.00 
/PhotoDetail.aspx?date=12/26/2010,40,35,0:00:10,13,61.54%,42.50%,$0.00 
/PhotoDetail.aspx?date=02/15/2010,39,27,0:00:09,0,0.00%,5.13%,$0.00 
/PhotoDetail.aspx?date=03/17/2013,39,29,0:01:13,10,90.00%,35.90%,$0.00 
/PhotoDetail.aspx?date=03/20/2010,39,36,0:01:18,1,0.00%,25.64%,$0.00 
/PhotoDetail.aspx?date=04/07/2010,39,25,0:00:04,0,0.00%,10.26%,$0.00 
/PhotoDetail.aspx?date=04/19/2010,39,31,0:00:42,3,33.33%,23.08%,$0.00 
/PhotoDetail.aspx?date=05/14/2011,39,34,0:00:19,11,54.55%,30.77%,$0.00 
/PhotoDetail.aspx?date=05/28/2010,39,33,0:00:41,16,68.75%,43.59%,$0.00 
/PhotoDetail.aspx?date=09/01/2010,39,33,0:00:30,1,0.00%,7.69%,$0.00 
/PhotoDetail.aspx?date=11/07/2010,39,33,0:00:12,1,0.00%,15.38%,$0.00 
/PhotoDetail.aspx?date=02/21/2010,38,29,0:00:04,0,0.00%,2.63%,$0.00 
/PhotoDetail.aspx?date=02/24/2010,38,28,0:00:37,0,0.00%,5.26%,$0.00 
/PhotoDetail.aspx?date=03/01/2010,38,30,0:00:05,0,0.00%,5.26%,$0.00 
/PhotoDetail.aspx?date=06/06/2010,38,30,0:00:26,13,46.15%,36.84%,$0.00 
/PhotoDetail.aspx?date=07/06/2010,38,29,0:00:05,0,0.00%,5.26%,$0.00 
/PhotoDetail.aspx?date=07/12/2010,38,34,0:00:19,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=01/02/2011,37,33,0:00:08,0,0.00%,10.81%,$0.00 
/PhotoDetail.aspx?date=01/18/2010,37,33,0:02:05,28,57.14%,54.05%,$0.00 
/PhotoDetail.aspx?date=03/15/2011,37,32,0:00:20,12,83.33%,32.43%,$0.00 
/PhotoDetail.aspx?date=05/06/2010,37,36,0:00:21,5,60.00%,13.51%,$0.00 
/PhotoDetail.aspx?date=01/09/2011,36,32,0:01:18,1,0.00%,16.67%,$0.00 
/PhotoDetail.aspx?date=01/05/2010,36,32,0:00:20,0,0.00%,19.44%,$0.00 
/PhotoDetail.aspx?date=02/10/2010,36,24,0:00:12,3,0.00%,11.11%,$0.00 
/PhotoDetail.aspx?date=02/13/2010,36,25,0:00:06,0,0.00%,2.78%,$0.00 
/PhotoDetail.aspx?date=02/25/2010,36,29,0:00:20,0,0.00%,13.89%,$0.00 
/PhotoDetail.aspx?date=03/31/2010,36,32,0:00:07,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=05/07/2011,36,30,0:00:11,1,100.00%,11.11%,$0.00 
/PhotoDetail.aspx?date=06/01/2010,36,31,0:00:11,4,50.00%,25.00%,$0.00 
/PhotoDetail.aspx?date=06/13/2010,36,35,0:00:27,2,50.00%,19.44%,$0.00 
/PhotoDetail.aspx?date=09/11/2010,36,33,0:00:20,9,88.89%,27.78%,$0.00 
/PhotoDetail.aspx?date=09/19/2010,36,34,0:00:06,0,0.00%,5.56%,$0.00 
/PhotoDetail.aspx?date=11/05/2011,36,29,0:00:09,4,75.00%,16.67%,$0.00 
/PhotoDetail.aspx?date=01/10/2010,35,27,0:00:06,0,0.00%,14.29%,$0.00 
/PhotoDetail.aspx?date=02/14/2010,35,25,0:00:06,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=03/02/2010,35,28,0:00:06,0,0.00%,2.86%,$0.00 
/PhotoDetail.aspx?date=03/04/2010,35,29,0:00:50,0,0.00%,14.29%,$0.00 
/PhotoDetail.aspx?date=04/17/2011,35,31,0:00:33,11,90.91%,34.29%,$0.00 
/PhotoDetail.aspx?date=04/18/2010,35,31,0:00:08,2,50.00%,11.43%,$0.00 
/PhotoDetail.aspx?date=07/10/2010,35,30,0:00:11,0,0.00%,2.86%,$0.00 
/PhotoDetail.aspx?date=07/13/2010,35,32,0:00:38,0,0.00%,2.86%,$0.00 
/PhotoDetail.aspx?date=08/14/2010,35,26,0:01:09,7,42.86%,14.29%,$0.00 
/PhotoDetail.aspx?date=09/21/2012,35,28,0:01:32,14,71.43%,40.00%,$0.00 
/PhotoDetail.aspx?date=12/11/2011,35,32,0:01:17,16,93.75%,45.71%,$0.00 
/PhotoDetail.aspx?date=01/03/2010,34,33,0:00:35,3,100.00%,26.47%,$0.00 
/PhotoDetail.aspx?date=01/16/2010,34,26,0:00:20,6,66.67%,20.59%,$0.00 
/PhotoDetail.aspx?date=02/04/2010,34,26,0:02:11,0,0.00%,29.41%,$0.00 
/PhotoDetail.aspx?date=02/09/2010,34,29,0:00:06,1,0.00%,17.65%,$0.00 
/PhotoDetail.aspx?date=02/22/2010,34,26,0:00:15,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=03/26/2010,34,31,0:01:02,0,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=04/14/2010,34,30,0:00:34,7,71.43%,23.53%,$0.00 
/PhotoDetail.aspx?date=04/15/2010,34,31,0:02:11,10,70.00%,38.24%,$0.00 
/PhotoDetail.aspx?date=05/23/2010,34,27,0:00:10,0,0.00%,26.47%,$0.00 
/PhotoDetail.aspx?date=06/02/2005,34,31,0:00:08,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=07/08/2010,34,28,0:00:05,0,0.00%,5.88%,$0.00 
/PhotoDetail.aspx?date=08/09/2010,34,31,0:00:05,0,0.00%,11.76%,$0.00 
/PhotoDetail.aspx?date=10/07/2011,34,29,0:00:15,3,66.67%,23.53%,$0.00 
/PhotoDetail.aspx?date=12/07/2010,34,31,0:00:05,0,0.00%,8.82%,$0.00 
/PhotoDetail.aspx?date=02/11/2010,33,27,0:00:06,0,0.00%,3.03%,$0.00 
/PhotoDetail.aspx?date=03/27/2010,33,29,0:00:07,1,100.00%,12.12%,$0.00 
/PhotoDetail.aspx?date=03/03/2010,33,26,0:00:05,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=05/15/2010,33,30,0:00:41,11,45.45%,21.21%,$0.00 
/PhotoDetail.aspx?date=06/05/2011,33,31,0:00:45,11,72.73%,36.36%,$0.00 
/PhotoDetail.aspx?date=06/06/2011,33,30,0:01:28,7,85.71%,27.27%,$0.00 
/PhotoDetail.aspx?date=06/12/2010,33,32,0:00:08,1,100.00%,27.27%,$0.00 
/PhotoDetail.aspx?date=07/02/2010,33,31,0:00:07,0,0.00%,9.09%,$0.00 
/PhotoDetail.aspx?date=07/03/2010,33,31,0:00:43,0,0.00%,6.06%,$0.00 
/PhotoDetail.aspx?date=09/30/2010,33,30,0:00:07,0,0.00%,15.15%,$0.00 
/PhotoDetail.aspx?date=10/10/2012,33,29,0:00:12,12,75.00%,51.52%,$0.00 
/PhotoDetail.aspx?date=10/29/2011,33,27,0:01:08,2,0.00%,27.27%,$0.00 
/PhotoDetail.aspx?date=02/12/2010,32,25,0:00:05,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=03/15/2010,32,30,0:00:18,0,0.00%,9.38%,$0.00 
/PhotoDetail.aspx?date=03/16/2010,32,32,0:00:04,0,0.00%,9.38%,$0.00 
/PhotoDetail.aspx?date=03/28/2010,32,29,0:00:03,0,0.00%,9.38%,$0.00 
/PhotoDetail.aspx?date=03/29/2010,32,29,0:00:14,0,0.00%,9.38%,$0.00 
/PhotoDetail.aspx?date=03/30/2010,32,29,0:00:51,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=04/11/2011,32,29,0:00:14,9,66.67%,31.25%,$0.00 
/PhotoDetail.aspx?date=05/01/2011,32,26,0:00:05,0,0.00%,15.62%,$0.00 
/PhotoDetail.aspx?date=05/02/2010,32,30,0:00:08,1,100.00%,12.50%,$0.00 
/PhotoDetail.aspx?date=05/03/2011,32,30,0:01:07,1,100.00%,15.62%,$0.00 
/PhotoDetail.aspx?date=07/07/2013,32,30,0:00:55,15,80.00%,56.25%,$0.00 
/PhotoDetail.aspx?date=08/06/2010,32,27,0:00:10,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=08/10/2010,32,28,0:00:06,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=09/03/2010,32,30,0:00:05,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=12/08/2010,32,29,0:00:04,0,0.00%,6.25%,$0.00 
/PhotoDetail.aspx?date=12/15/2010,32,27,0:00:41,5,60.00%,31.25%,$0.00 
/PhotoDetail.aspx?date=01/17/2011,31,28,0:00:14,8,75.00%,38.71%,$0.00 
/PhotoDetail.aspx?date=01/18/2010,31,22,0:00:08,0,0.00%,16.13%,$0.00 
/PhotoDetail.aspx?date=01/19/2010,31,26,0:00:14,0,0.00%,12.90%,$0.00 
/PhotoDetail.aspx?date=02/06/2010,31,28,0:00:12,0,0.00%,12.90%,$0.00 
/PhotoDetail.aspx?date=02/23/2010,31,27,0:00:06,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=03/03/2010,31,27,0:00:04,0,0.00%,3.23%,$0.00 
/PhotoDetail.aspx?date=03/03/2012,31,28,0:00:25,3,66.67%,25.81%,$0.00 
/PhotoDetail.aspx?date=03/10/2010,31,31,0:00:05,8,87.50%,25.81%,$0.00 
/PhotoDetail.aspx?date=03/13/2010,31,30,0:00:07,1,0.00%,3.23%,$0.00 
/PhotoDetail.aspx?date=03/17/2010,31,31,0:00:04,2,50.00%,12.90%,$0.00 
/PhotoDetail.aspx?date=03/25/2010,31,30,0:00:10,1,0.00%,3.23%,$0.00 
/PhotoDetail.aspx?date=05/10/2012,31,23,0:02:09,10,70.00%,38.71%,$0.00 
/PhotoDetail.aspx?date=05/29/2013,31,25,0:01:24,9,44.44%,38.71%,$0.00 
/PhotoDetail.aspx?date=07/28/2010,31,26,0:00:07,0,0.00%,9.68%,$0.00 
/PhotoDetail.aspx?date=08/11/2010,31,25,0:00:14,0,0.00%,6.45%,$0.00 
/PhotoDetail.aspx?date=10/03/2010,31,29,0:00:37,0,0.00%,12.90%,$0.00 
/PhotoDetail.aspx?date=10/10/2011,31,25,0:01:47,7,71.43%,35.48%,$0.00 
/PhotoDetail.aspx?date=12/11/2010,31,28,0:00:04,1,100.00%,19.35%,$0.00 
/PhotoDetail.aspx?date=01/04/2012,30,18,0:00:04,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=01/08/2010,30,25,0:00:08,0,0.00%,23.33%,$0.00 
/PhotoDetail.aspx?date=02/26/2011,30,23,0:00:37,9,66.67%,36.67%,$0.00 
/PhotoDetail.aspx?date=03/01/2010,30,28,0:00:33,3,100.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=03/19/2010,30,29,0:00:04,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=03/22/2010,30,28,0:00:04,1,100.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=03/23/2010,30,29,0:00:05,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=03/24/2010,30,28,0:00:44,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=04/20/2010,30,27,0:00:18,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=05/03/2010,30,29,0:00:25,0,0.00%,3.33%,$0.00 
/PhotoDetail.aspx?date=05/04/2011,30,29,0:00:19,0,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=05/05/2010,30,29,0:00:05,0,0.00%,26.67%,$0.00 
/PhotoDetail.aspx?date=06/09/2011,30,24,0:00:21,1,0.00%,13.33%,$0.00 
/PhotoDetail.aspx?date=06/11/2011,30,22,0:00:15,1,0.00%,3.33%,$0.00 
/PhotoDetail.aspx?date=07/09/2010,30,28,0:00:07,0,0.00%,16.67%,$0.00 
/PhotoDetail.aspx?date=08/06/2013,30,18,0:01:04,1,0.00%,16.67%,$0.00 
/PhotoDetail.aspx?date=08/21/2010,30,24,0:00:10,1,0.00%,10.00%,$0.00 
/PhotoDetail.aspx?date=01/16/2011,29,26,0:01:13,7,71.43%,44.83%,$0.00 
/PhotoDetail.aspx?date=01/17/2010,29,19,0:01:02,0,0.00%,6.90%,$0.00 
/PhotoDetail.aspx?date=03/04/2013,29,24,0:00:25,11,72.73%,37.93%,$0.00 
/PhotoDetail.aspx?date=03/14/2011,29,27,0:00:10,6,100.00%,44.83%,$0.00 
/PhotoDetail.aspx?date=03/18/2010,29,28,0:00:07,1,0.00%,24.14%,$0.00 
/PhotoDetail.aspx?date=04/06/2010,29,24,0:00:08,0,0.00%,3.45%,$0.00 
/PhotoDetail.aspx?date=04/17/2010,29,25,0:01:11,0,0.00%,6.90%,$0.00 
/PhotoDetail.aspx?date=05/08/2010,29,29,0:00:06,0,0.00%,6.90%,$0.00 
/PhotoDetail.aspx?date=05/14/2010,29,25,0:00:25,7,71.43%,24.14%,$0.00 
/PhotoDetail.aspx?date=05/30/2010,29,27,0:00:07,7,85.71%,34.48%,$0.00 
/PhotoDetail.aspx?date=06/03/2010,29,28,0:01:05,0,0.00%,17.24%,$0.00 
/PhotoDetail.aspx?date=06/07/2010,29,22,0:01:35,2,0.00%,10.34%,$0.00 
/PhotoDetail.aspx?date=06/10/2011,29,23,0:00:04,0,0.00%,13.79%,$0.00 
/PhotoDetail.aspx?date=06/28/2011,29,23,0:00:33,9,88.89%,34.48%,$0.00 
/PhotoDetail.aspx?date=08/03/2010,29,26,0:00:05,0,0.00%,13.79%,$0.00 
/PhotoDetail.aspx?date=08/19/2010,29,21,0:00:07,2,100.00%,17.24%,$0.00 
/PhotoDetail.aspx?date=09/01/2012,29,23,0:02:43,5,60.00%,27.59%,$0.00 
/PhotoDetail.aspx?date=09/20/2010,29,28,0:00:08,1,100.00%,20.69%,$0.00 
/PhotoDetail.aspx?date=09/28/2010,29,29,0:00:06,0,0.00%,3.45%,$0.00 
/PhotoDetail.aspx?date=10/20/2013,29,23,0:00:54,6,50.00%,37.93%,$0.00 
/PhotoDetail.aspx?date=01/03/2012,28,20,0:01:16,1,100.00%,10.71%,$0.00 
/PhotoDetail.aspx?date=01/27/2013,28,22,0:00:13,8,50.00%,25.00%,$0.00 
/PhotoDetail.aspx?date=01/14/2010,28,24,0:00:08,2,0.00%,17.86%,$0.00 
/PhotoDetail.aspx?date=02/24/2010,28,24,0:01:27,4,50.00%,14.29%,$0.00 
/PhotoDetail.aspx?date=02/25/2011,28,25,0:00:51,10,90.00%,39.29%,$0.00 
/PhotoDetail.aspx?date=03/14/2010,28,28,0:00:05,0,0.00%,7.14%,$0.00 
/PhotoDetail.aspx?date=03/21/2010,28,27,0:00:03,0,0.00%,14.29%,$0.00 
/PhotoDetail.aspx?date=04/10/2010,28,25,0:00:05,0,0.00%,7.14%,$0.00 
/PhotoDetail.aspx?date=04/30/2011,28,23,0:00:07,0,0.00%,10.71%,$0.00 
/PhotoDetail.aspx?date=05/09/2010,28,24,0:01:02,0,0.00%,10.71%,$0.00 
/PhotoDetail.aspx?date=10/31/2011,28,26,0:00:33,5,80.00%,32.14%,$0.00 
/PhotoDetail.aspx?date=11/13/2013,28,25,0:00:55,2,100.00%,14.29%,$0.00 
/PhotoDetail.aspx?date=12/01/2010,28,24,0:00:07,0,0.00%,21.43%,$0.00 
/PhotoDetail.aspx?date=12/05/2010,28,27,0:00:04,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=12/09/2011,28,25,0:01:20,10,80.00%,42.86%,$0.00 
/PhotoDetail.aspx?date=12/15/2011,28,27,0:00:08,8,100.00%,46.43%,$0.00 
/PhotoDetail.aspx?date=01/09/2010,27,21,0:00:33,0,0.00%,7.41%,$0.00 
/PhotoDetail.aspx?date=01/13/2010,27,21,0:01:25,0,0.00%,14.81%,$0.00 
/PhotoDetail.aspx?date=01/20/2010,27,20,0:00:05,0,0.00%,7.41%,$0.00 
/PhotoDetail.aspx?date=01/25/2010,27,24,0:01:20,0,0.00%,14.81%,$0.00 
/PhotoDetail.aspx?date=02/26/2010,27,22,0:00:06,0,0.00%,3.70%,$0.00 
/PhotoDetail.aspx?date=02/28/2010,27,21,0:00:50,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=03/11/2011,27,18,0:01:04,3,66.67%,14.81%,$0.00 
/PhotoDetail.aspx?date=03/12/2011,27,26,0:00:06,4,75.00%,29.63%,$0.00 
/PhotoDetail.aspx?date=04/23/2011,27,25,0:00:49,8,87.50%,40.74%,$0.00 
/PhotoDetail.aspx?date=06/04/2011,27,23,0:00:38,1,0.00%,11.11%,$0.00 
/PhotoDetail.aspx?date=06/13/2011,27,24,0:00:05,0,0.00%,22.22%,$0.00 
/PhotoDetail.aspx?date=06/15/2013,27,21,0:00:25,3,100.00%,29.63%,$0.00 
/PhotoDetail.aspx?date=07/01/2010,27,26,0:00:04,0,0.00%,11.11%,$0.00 
/PhotoDetail.aspx?date=07/08/2011,27,23,0:00:24,7,100.00%,40.74%,$0.00 
/PhotoDetail.aspx?date=07/23/2013,27,21,0:00:14,6,83.33%,33.33%,$0.00 
/PhotoDetail.aspx?date=07/31/2013,27,23,0:00:57,2,50.00%,18.52%,$0.00 
/PhotoDetail.aspx?date=08/01/2010,27,24,0:00:11,0,0.00%,14.81%,$0.00 
/PhotoDetail.aspx?date=08/04/2010,27,24,0:00:04,0,0.00%,11.11%,$0.00 
/PhotoDetail.aspx?date=08/05/2010,27,24,0:00:06,0,0.00%,7.41%,$0.00 
/PhotoDetail.aspx?date=08/16/2010,27,22,0:00:07,0,0.00%,14.81%,$0.00 
/PhotoDetail.aspx?date=09/14/2010,27,24,0:00:09,0,0.00%,14.81%,$0.00 
/PhotoDetail.aspx?date=09/25/2010,27,25,0:00:05,0,0.00%,14.81%,$0.00 
/PhotoDetail.aspx?date=10/14/2013,27,20,0:00:27,3,66.67%,7.41%,$0.00 
/PhotoDetail.aspx?date=10/16/2010,27,23,0:00:07,0,0.00%,3.70%,$0.00 
/PhotoDetail.aspx?date=11/12/2013,27,20,0:02:30,3,33.33%,11.11%,$0.00 
/PhotoDetail.aspx?date=12/06/2010,27,27,0:00:05,0,0.00%,14.81%,$0.00 
/PhotoDetail.aspx?date=12/13/2010,27,25,0:00:11,1,0.00%,14.81%,$0.00 
/PhotoDetail.aspx?date=01/05/2012,26,17,0:00:17,0,0.00%,7.69%,$0.00 
/PhotoDetail.aspx?date=01/13/2012,26,24,0:00:08,0,0.00%,11.54%,$0.00 
/PhotoDetail.aspx?date=01/15/2010,26,19,0:01:26,0,0.00%,11.54%,$0.00 
/PhotoDetail.aspx?date=01/21/2010,26,24,0:01:31,0,0.00%,15.38%,$0.00 
/PhotoDetail.aspx?date=01/23/2010,26,24,0:00:07,0,0.00%,3.85%,$0.00 
/PhotoDetail.aspx?date=02/03/2014,26,14,0:01:26,1,100.00%,19.23%,$0.00 
/PhotoDetail.aspx?date=02/07/2010,26,23,0:00:09,0,0.00%,23.08%,$0.00 
/PhotoDetail.aspx?date=02/08/2010,26,22,0:00:27,0,0.00%,7.69%,$0.00 
